 MAB conc./(mg/mL)     viscosity/cP
  85.85050   3.55482
  86.01917   3.56479
  86.18783   3.57480
  86.35650   3.58484
  86.52516   3.59491
  86.69383   3.60501
  86.86249   3.61514
  87.03116   3.62531
  87.19982   3.63550
  87.36849   3.64573
  87.53715   3.65599
  87.70582   3.66628
  87.87448   3.67661
  88.04315   3.68697
  88.21181   3.69736
  88.38048   3.70778
  88.54914   3.71823
  88.71781   3.72872
  88.88647   3.73924
  89.05514   3.74979
  89.22380   3.76038
  89.39247   3.77100
  89.56113   3.78165
  89.72980   3.79234
  89.89846   3.80306
  90.06713   3.81382
  90.23579   3.82460
  90.40446   3.83542
  90.57312   3.84628
  90.74179   3.85717
  90.91045   3.86809
  91.07912   3.87905
  91.24778   3.89005
  91.41645   3.90107
  91.58511   3.91213
  91.75378   3.92323
  91.92244   3.93436
  92.09111   3.94553
  92.25977   3.95673
  92.42844   3.96797
  92.59710   3.97924
  92.76577   3.99055
  92.93443   4.00189
  93.10310   4.01327
  93.27176   4.02469
  93.44043   4.03614
  93.60909   4.04763
  93.77776   4.05915
  93.94642   4.07071
  94.11509   4.08231
  94.28375   4.09394
  94.45242   4.10561
  94.62108   4.11732
  94.78975   4.12906
  94.95841   4.14084
  95.12708   4.15266
  95.29574   4.16451
  95.46441   4.17640
  95.63307   4.18833
  95.80174   4.20030
  95.97040   4.21230
  96.13907   4.22435
  96.30773   4.23643
  96.47640   4.24855
  96.64506   4.26070
  96.81373   4.27290
  96.98239   4.28513
  97.15106   4.29741
  97.31972   4.30972
  97.48839   4.32207
  97.65705   4.33446
  97.82572   4.34689
  97.99438   4.35936
  98.16305   4.37186
  98.33171   4.38441
  98.50038   4.39700
  98.66904   4.40962
  98.83771   4.42229
  99.00637   4.43500
  99.17504   4.44774
  99.34370   4.46053
  99.51237   4.47336
  99.68103   4.48623
  99.84970   4.49914
 100.01836   4.51209
 100.18703   4.52508
 100.35569   4.53811
 100.52436   4.55118
 100.69302   4.56430
 100.86169   4.57745
 101.03035   4.59065
 101.19902   4.60389
 101.36768   4.61717
 101.53635   4.63050
 101.70501   4.64386
 101.87368   4.65727
 102.04234   4.67072
 102.21101   4.68422
 102.37967   4.69775
 102.54834   4.71133
 102.71700   4.72496
 102.88567   4.73862
 103.05433   4.75233
 103.22300   4.76608
 103.39166   4.77988
 103.56033   4.79372
 103.72899   4.80760
 103.89766   4.82153
 104.06632   4.83551
 104.23499   4.84952
 104.40365   4.86358
 104.57232   4.87769
 104.74098   4.89184
 104.90965   4.90604
 105.07831   4.92028
 105.24698   4.93457
 105.41564   4.94890
 105.58431   4.96328
 105.75297   4.97770
 105.92164   4.99217
 106.09030   5.00669
 106.25897   5.02125
 106.42763   5.03585
 106.59630   5.05051
 106.76496   5.06521
 106.93363   5.07996
 107.10229   5.09475
 107.27096   5.10960
 107.43962   5.12449
 107.60829   5.13942
 107.77695   5.15441
 107.94562   5.16944
 108.11428   5.18452
 108.28295   5.19965
 108.45161   5.21482
 108.62028   5.23005
 108.78894   5.24532
 108.95761   5.26065
 109.12627   5.27602
 109.29494   5.29144
 109.46360   5.30691
 109.63227   5.32242
 109.80093   5.33799
 109.96960   5.35361
 110.13826   5.36928
 110.30693   5.38500
 110.47559   5.40077
 110.64426   5.41658
 110.81292   5.43245
 110.98159   5.44837
 111.15025   5.46434
 111.31892   5.48037
 111.48758   5.49644
 111.65625   5.51256
 111.82491   5.52874
 111.99358   5.54497
 112.16224   5.56125
 112.33091   5.57758
 112.49957   5.59396
 112.66824   5.61040
 112.83690   5.62689
 113.00557   5.64343
 113.17423   5.66003
 113.34290   5.67667
 113.51156   5.69338
 113.68023   5.71013
 113.84889   5.72694
 114.01756   5.74380
 114.18622   5.76072
 114.35489   5.77769
 114.52355   5.79471
 114.69222   5.81179
 114.86088   5.82893
 115.02955   5.84612
 115.19821   5.86336
 115.36688   5.88066
 115.53554   5.89802
 115.70421   5.91543
 115.87287   5.93290
 116.04154   5.95042
 116.21020   5.96800
 116.37887   5.98563
 116.54753   6.00333
 116.71620   6.02107
 116.88486   6.03888
 117.05353   6.05674
 117.22219   6.07466
 117.39086   6.09264
 117.55952   6.11068
 117.72819   6.12877
 117.89685   6.14693
 118.06552   6.16514
 118.23418   6.18341
 118.40285   6.20173
 118.57151   6.22012
 118.74018   6.23857
 118.90884   6.25707
 119.07751   6.27564
 119.24617   6.29426
 119.41484   6.31295
 119.58350   6.33169
 119.75217   6.35050
 119.92083   6.36936
 120.08950   6.38829
 120.25816   6.40728
 120.42683   6.42632
 120.59549   6.44543
 120.76416   6.46461
 120.93282   6.48384
 121.10149   6.50314
 121.27015   6.52249
 121.43882   6.54191
 121.60748   6.56140
 121.77615   6.58094
 121.94481   6.60055
 122.11348   6.62022
 122.28214   6.63996
 122.45081   6.65976
 122.61947   6.67962
 122.78814   6.69954
 122.95680   6.71954
 123.12547   6.73959
 123.29413   6.75971
 123.46280   6.77990
 123.63146   6.80015
 123.80013   6.82047
 123.96879   6.84085
 124.13746   6.86129
 124.30612   6.88181
 124.47479   6.90239
 124.64345   6.92304
 124.81212   6.94375
 124.98078   6.96453
 125.14945   6.98538
 125.31811   7.00629
 125.48678   7.02728
 125.65544   7.04833
 125.82411   7.06944
 125.99277   7.09063
 126.16144   7.11189
 126.33010   7.13321
 126.49877   7.15461
 126.66743   7.17607
 126.83610   7.19760
 127.00476   7.21920
 127.17343   7.24087
 127.34209   7.26262
 127.51076   7.28443
 127.67942   7.30631
 127.84809   7.32827
 128.01675   7.35029
 128.18542   7.37239
 128.35408   7.39456
 128.52275   7.41680
 128.69141   7.43911
 128.86008   7.46150
 129.02874   7.48396
 129.19741   7.50649
 129.36607   7.52909
 129.53474   7.55177
 129.70340   7.57452
 129.87207   7.59734
 130.04073   7.62024
 130.20940   7.64322
 130.37806   7.66626
 130.54673   7.68939
 130.71539   7.71258
 130.88406   7.73586
 131.05272   7.75921
 131.22139   7.78263
 131.39005   7.80613
 131.55872   7.82971
 131.72738   7.85336
 131.89605   7.87709
 132.06471   7.90090
 132.23338   7.92479
 132.40204   7.94875
